state,updatedon,totaltested,positive
Andhra Pradesh,12/04/2020,6958,405
Andhra Pradesh,13/04/2020,8755,432
Andhra Pradesh,14/04/2020,10505,473
Andhra Pradesh,15/04/2020,11613,525
Andhra Pradesh,16/04/2020,20235,534
Andhra Pradesh,17/04/2020,20235,572
Andhra Pradesh,18/04/2020,21450,603
Andhra Pradesh,19/04/2020,26958,647
Andhra Pradesh,20/04/2020,30733,722
Andhra Pradesh,21/04/2020,35755,757
Andhra Pradesh,22/04/2020,41512,813
Andhra Pradesh,23/04/2020,48032,893
Andhra Pradesh,24/04/2020,54338,955
Andhra Pradesh,25/04/2020,61266,1016
Andhra Pradesh,26/04/2020,68034,1097
Andhra Pradesh,27/04/2020,74551,1177
Andhra Pradesh,28/04/2020,80334,1259
Andhra Pradesh,29/04/2020,88061,1332
Andhra Pradesh,30/04/2020,94558,1403
Andhra Pradesh,01/05/2020,102460,1463
Andhra Pradesh,02/05/2020,108403,1525
Andhra Pradesh,03/05/2020,114937,1583
Andhra Pradesh,04/05/2020,125229,1650
Andhra Pradesh,05/05/2020,133492,1717
Andhra Pradesh,06/05/2020,141274,1777
Andhra Pradesh,07/05/2020,149361,1833
Andhra Pradesh,08/05/2020,156681,1887
Andhra Pradesh,09/05/2020,165069,1930
Andhra Pradesh,10/05/2020,173735,1980
Andhra Pradesh,11/05/2020,181144,2018
Andhra Pradesh,12/05/2020,191874,2051
Andhra Pradesh,13/05/2020,201196,2137
Andhra Pradesh,14/05/2020,210452,2100
Andhra Pradesh,15/05/2020,219490,2157
Andhra Pradesh,17/05/2020,238998,2230
Andhra Pradesh,18/05/2020,248771,2282
Andhra Pradesh,19/05/2020,258450,2339
Andhra Pradesh,20/05/2020,267612,2407
Andhra Pradesh,21/05/2020,275704,2452
Andhra Pradesh,22/05/2020,284119,2514
Andhra Pradesh,23/05/2020,292969,2561
Andhra Pradesh,24/05/2020,304326,2627
Andhra Pradesh,25/05/2020,314566,2671
Andhra Pradesh,26/05/2020,322714,2719
Andhra Pradesh,27/05/2020,332378,2787
Andhra Pradesh,28/05/2020,342236,2841
Andhra Pradesh,29/05/2020,353874,2874
Andhra Pradesh,30/05/2020,363378,2944
Andhra Pradesh,31/05/2020,372748,3045
Andhra Pradesh,01/06/2020,383315,3118
Andhra Pradesh,02/06/2020,395681,3200
Andhra Pradesh,03/06/2020,403747,3279
Andhra Pradesh,04/06/2020,413733,3377
Andhra Pradesh,05/06/2020,423564,3427
Andhra Pradesh,06/06/2020,436335,3588
Andhra Pradesh,07/06/2020,454030,3718
Andhra Pradesh,08/06/2020,468276,3843
Andhra Pradesh,09/06/2020,483361,3990
Andhra Pradesh,10/06/2020,498716,4126
Andhra Pradesh,11/06/2020,510318,4261
Andhra Pradesh,12/06/2020,522093,4402
Andhra Pradesh,13/06/2020,536570,4588
Andhra Pradesh,14/06/2020,552202,4841
Andhra Pradesh,15/06/2020,567375,5087
Andhra Pradesh,16/06/2020,583286,5280
Andhra Pradesh,17/06/2020,598474,5555
Andhra Pradesh,18/06/2020,612397,5854
Andhra Pradesh,19/06/2020,630006,7961
Andhra Pradesh,20/06/2020,652377,8452
Andhra Pradesh,21/06/2020,676828,8929
Andhra Pradesh,22/06/2020,693548,9372
Andhra Pradesh,23/06/2020,714187,9834
Andhra Pradesh,24/06/2020,750234,10331
Andhra Pradesh,25/06/2020,769319,10884
Andhra Pradesh,26/06/2020,791624,11489
Andhra Pradesh,27/06/2020,816082,12285
Andhra Pradesh,28/06/2020,841860,13098
Andhra Pradesh,29/06/2020,872076,13891
Andhra Pradesh,30/06/2020,890190,14595
Andhra Pradesh,01/07/2020,918429,15252
Andhra Pradesh,02/07/2020,932713,16097
Andhra Pradesh,03/07/2020,971611,16934
Andhra Pradesh,04/07/2020,996573,17699
Andhra Pradesh,05/07/2020,1017140,18697
Andhra Pradesh,06/07/2020,1033852,20019
Andhra Pradesh,07/07/2020,1050090,21197
Andhra Pradesh,08/07/2020,1077733,22259
Andhra Pradesh,09/07/2020,1094615,23814
Andhra Pradesh,10/07/2020,1115635,25422
Andhra Pradesh,11/07/2020,1136225,27235
Andhra Pradesh,12/07/2020,1153849,29168
Andhra Pradesh,13/07/2020,1173096,31103
Andhra Pradesh,14/07/2020,1195766,33019
Andhra Pradesh,15/07/2020,1217963,35451
Andhra Pradesh,16/07/2020,1240267,38044
Andhra Pradesh,17/07/2020,1260512,40646
Andhra Pradesh,18/07/2020,1284384,44609
Andhra Pradesh,19/07/2020,1315532,49650
Andhra Pradesh,20/07/2020,1349112,53724
Andhra Pradesh,21/07/2020,1386274,58668
Andhra Pradesh,22/07/2020,1435827,64713
Andhra Pradesh,23/07/2020,1493879,72711
Andhra Pradesh,24/07/2020,1541993,80858
Andhra Pradesh,25/07/2020,1595674,88671
Andhra Pradesh,26/07/2020,1643319,96298
Arunachal Pradesh,09/04/2020,206,1
Arunachal Pradesh,14/04/2020,280,1
Arunachal Pradesh,17/04/2020,363,1
Arunachal Pradesh,18/04/2020,389,1
Arunachal Pradesh,20/04/2020,439,1
Arunachal Pradesh,21/04/2020,454,1
Arunachal Pradesh,22/04/2020,496,2
Arunachal Pradesh,24/04/2020,526,2
Arunachal Pradesh,26/04/2020,568,2
Arunachal Pradesh,27/04/2020,584,2
Arunachal Pradesh,28/04/2020,610,2
Arunachal Pradesh,29/04/2020,662,2
Arunachal Pradesh,30/04/2020,694,2
Arunachal Pradesh,01/05/2020,724,2
Arunachal Pradesh,03/05/2020,810,2
Arunachal Pradesh,04/05/2020,869,2
Arunachal Pradesh,05/05/2020,970,2
Arunachal Pradesh,06/05/2020,1039,2
Arunachal Pradesh,07/05/2020,1144,2
Arunachal Pradesh,08/05/2020,1354,2
Arunachal Pradesh,09/05/2020,1597,2
Arunachal Pradesh,10/05/2020,1823,2
Arunachal Pradesh,11/05/2020,2078,2
Arunachal Pradesh,12/05/2020,2257,2
Arunachal Pradesh,13/05/2020,2483,2
Arunachal Pradesh,14/05/2020,2677,2
Arunachal Pradesh,15/05/2020,2942,2
Arunachal Pradesh,16/05/2020,3163,2
Arunachal Pradesh,17/05/2020,3349,2
Arunachal Pradesh,18/05/2020,3662,2
Arunachal Pradesh,19/05/2020,3941,2
Arunachal Pradesh,20/05/2020,4157,2
Arunachal Pradesh,21/05/2020,4438,2
Arunachal Pradesh,22/05/2020,4844,2
Arunachal Pradesh,23/05/2020,5206,2
Arunachal Pradesh,24/05/2020,5428,2
Arunachal Pradesh,25/05/2020,5997,2
Arunachal Pradesh,26/05/2020,6319,2
Arunachal Pradesh,27/05/2020,6436,2
Arunachal Pradesh,28/05/2020,6984,3
Arunachal Pradesh,29/05/2020,7488,3
Arunachal Pradesh,30/05/2020,8017,4
Arunachal Pradesh,31/05/2020,8283,4
Arunachal Pradesh,01/06/2020,8768,22
Arunachal Pradesh,02/06/2020,9079,28
Arunachal Pradesh,03/06/2020,9551,38
Arunachal Pradesh,04/06/2020,10025,43
Arunachal Pradesh,05/06/2020,10790,46
Arunachal Pradesh,06/06/2020,11261,49
Arunachal Pradesh,07/06/2020,11516,51
Arunachal Pradesh,08/06/2020,12012,57
Arunachal Pradesh,09/06/2020,12455,57
Arunachal Pradesh,10/06/2020,13035,61
Arunachal Pradesh,11/06/2020,13479,67
Arunachal Pradesh,12/06/2020,14047,87
Arunachal Pradesh,13/06/2020,14518,88
Arunachal Pradesh,15/06/2020,15453,95
Arunachal Pradesh,16/06/2020,16158,99
Arunachal Pradesh,17/06/2020,16630,103
Arunachal Pradesh,18/06/2020,16630,103
Arunachal Pradesh,19/06/2020,18008,135
Arunachal Pradesh,20/06/2020,18521,135
Arunachal Pradesh,21/06/2020,19154,139
Arunachal Pradesh,22/06/2020,19799,148
Arunachal Pradesh,23/06/2020,20398,158
Arunachal Pradesh,24/06/2020,20938,160
Arunachal Pradesh,25/06/2020,21274,172
Arunachal Pradesh,26/06/2020,21890,174
Arunachal Pradesh,27/06/2020,22623,177
Arunachal Pradesh,28/06/2020,23011,182
Arunachal Pradesh,29/06/2020,23709,187
Arunachal Pradesh,30/06/2020,24237,191
Arunachal Pradesh,01/07/2020,24856,195
Arunachal Pradesh,02/07/2020,25440,232
Arunachal Pradesh,03/07/2020,25917,252
Arunachal Pradesh,04/07/2020,26569,259
Arunachal Pradesh,05/07/2020,26808,269
Arunachal Pradesh,06/07/2020,27645,270
Arunachal Pradesh,07/07/2020,28072,276
Arunachal Pradesh,08/07/2020,28581,287
Arunachal Pradesh,09/07/2020,29232,302
Arunachal Pradesh,10/07/2020,29834,335
Arunachal Pradesh,11/07/2020,30922,341
Arunachal Pradesh,12/07/2020,31520,359
Arunachal Pradesh,13/07/2020,32691,387
Arunachal Pradesh,14/07/2020,33807,462
Arunachal Pradesh,15/07/2020,34619,491
Arunachal Pradesh,16/07/2020,35430,543
Arunachal Pradesh,17/07/2020,36426,609
Arunachal Pradesh,18/07/2020,38042,650
Arunachal Pradesh,19/07/2020,39288,740
Arunachal Pradesh,20/07/2020,40477,790
Arunachal Pradesh,21/07/2020,41772,858
Arunachal Pradesh,22/07/2020,44986,949
Arunachal Pradesh,23/07/2020,48880,991
Arunachal Pradesh,24/07/2020,53335,1056
Arunachal Pradesh,25/07/2020,57861,1126
Arunachal Pradesh,26/07/2020,59558,1158
Assam,02/04/2020,962,16
Assam,10/04/2020,2863,29
Assam,11/04/2020,3011,29
Assam,12/04/2020,3138,29
Assam,14/04/2020,3491,31
Assam,15/04/2020,3613,32
Assam,16/04/2020,4108,34
Assam,17/04/2020,4236,34
Assam,18/04/2020,4400,34
Assam,19/04/2020,4865,34
Assam,20/04/2020,5112,34
Assam,21/04/2020,5514,34
Assam,24/04/2020,6680,35
Assam,25/04/2020,7159,35
Assam,26/04/2020,7823,35
Assam,27/04/2020,8117,35
Assam,29/04/2020,9520,37
Assam,01/05/2020,,
Assam,02/05/2020,11623,42
Assam,04/05/2020,12775,42
Assam,05/05/2020,13442,43
Assam,09/05/2020,16167,59
Assam,10/05/2020,18002,62
Assam,11/05/2020,19589,64
Assam,12/05/2020,21791,64
Assam,14/05/2020,25824,86
Assam,15/05/2020,28178,86
Assam,16/05/2020,31276,91
Assam,17/05/2020,34376,97
Assam,18/05/2020,37898,106
Assam,19/05/2020,41116,141
Assam,20/05/2020,47084,170
Assam,21/05/2020,51730,203
Assam,22/05/2020,55791,259
Assam,23/05/2020,60405,329
Assam,24/05/2020,66444,378
Assam,25/05/2020,70029,526
Assam,26/05/2020,72654,616
Assam,29/05/2020,92390,1024
Assam,30/05/2020,101257,1185
Assam,31/05/2020,109097,1272
Assam,02/06/2020,120375,1513
Assam,03/06/2020,126726,1672
Assam,04/06/2020,133029,1988
Assam,06/06/2020,146605,2397
Assam,07/06/2020,153326,2565
Assam,09/06/2020,169842,2937
Assam,11/06/2020,181108,3319
Assam,12/06/2020,188090,3498
Assam,15/06/2020,217088,4158
Assam,16/06/2020,227109,4319
Assam,17/06/2020,235214,4605
Assam,18/06/2020,246590,4861
Assam,19/06/2020,258797,4904
Assam,20/06/2020,273047,5006
Assam,21/06/2020,288306,5388
Assam,22/06/2020,301557,5586
Assam,23/06/2020,323258,5853
Assam,24/06/2020,336091,6282
Assam,25/06/2020,351753,6646
Assam,26/06/2020,362713,6646
Assam,27/06/2020,374519,6919
Assam,28/06/2020,385299,7165
Assam,29/06/2020,399393,7492
Assam,30/06/2020,412214,7835
Assam,01/07/2020,419878,8547
Assam,02/07/2020,428866,8955
Assam,03/07/2020,438882,9434
Assam,04/07/2020,449629,9799
Assam,05/07/2020,459143,11001
Assam,06/07/2020,471221,11736
Assam,07/07/2020,485156,12522
Assam,09/07/2020,508973,14032
Assam,10/07/2020,525485,14600
Assam,11/07/2020,537831,15536
Assam,12/07/2020,552376,16071
Assam,13/07/2020,563482,16806
Assam,14/07/2020,575867,17807
Assam,15/07/2020,589202,18666
Assam,16/07/2020,601385,19754
Assam,17/07/2020,614743,20646
Assam,18/07/2020,632372,21864
Assam,19/07/2020,651179,22981
Assam,20/07/2020,671191,23999
Assam,21/07/2020,689343,25092
Assam,22/07/2020,703374,27744
Assam,23/07/2020,723287,28791
Assam,24/07/2020,739465,29921
Assam,25/07/2020,753939,31086
Assam,26/07/2020,774484,32228
Bihar,05/04/2020,3037,32
Bihar,08/04/2020,4596,38
Bihar,09/04/2020,4991,43
Bihar,10/04/2020,5457,60
Bihar,11/04/2020,6250,61
Bihar,12/04/2020,6703,64
Bihar,13/04/2020,7263,65
Bihar,14/04/2020,7727,62
Bihar,15/04/2020,8263,66
Bihar,16/04/2020,8846,72
Bihar,17/04/2020,9486,83
Bihar,18/04/2020,10130,85
Bihar,19/04/2020,10745,92
Bihar,20/04/2020,11319,96
Bihar,21/04/2020,11999,115
Bihar,22/04/2020,12978,136
Bihar,23/04/2020,13785,148
Bihar,24/04/2020,14924,176
Bihar,25/04/2020,15885,238
Bihar,26/04/2020,17041,255
Bihar,27/04/2020,18179,328
Bihar,28/04/2020,19790,346
Bihar,29/04/2020,21180,383
Bihar,30/04/2020,22672,409
Bihar,01/05/2020,24118,466
Bihar,02/05/2020,25724,476
Bihar,03/05/2020,26951,485
Bihar,04/05/2020,28345,525
Bihar,05/05/2020,28791,529
Bihar,06/05/2020,29328,539
Bihar,07/05/2020,29841,547
Bihar,08/05/2020,30320,564
Bihar,09/05/2020,31552,585
Bihar,10/05/2020,32670,653
Bihar,11/05/2020,34662,714
Bihar,12/05/2020,37430,796
Bihar,13/05/2020,39149,909
Bihar,14/05/2020,40782,970
Bihar,15/05/2020,42645,1010
Bihar,16/05/2020,44340,1083
Bihar,17/05/2020,45729,1193
Bihar,18/05/2020,46996,1391
Bihar,19/05/2020,50563,1495
Bihar,20/05/2020,53361,1607
Bihar,21/05/2020,55692,1881
Bihar,22/05/2020,58481,2098
Bihar,23/05/2020,61220,2344
Bihar,24/05/2020,63741,2507
Bihar,26/05/2020,,
Bihar,27/05/2020,68262,3010
Bihar,28/05/2020,70275,3106
Bihar,29/05/2020,72256,3276
Bihar,30/05/2020,73929,3511
Bihar,31/05/2020,75737,3692
Bihar,01/06/2020,78090,3872
Bihar,02/06/2020,81413,4049
Bihar,03/06/2020,84729,4273
Bihar,04/06/2020,88313,4420
Bihar,05/06/2020,91903,4551
Bihar,06/06/2020,95473,4745
Bihar,07/06/2020,99108,4972
Bihar,08/06/2020,102318,5176
Bihar,09/06/2020,105588,5364
Bihar,10/06/2020,109483,5583
Bihar,11/06/2020,113225,5807
Bihar,12/06/2020,116671,6043
Bihar,13/06/2020,120086,6183
Bihar,14/06/2020,123629,6355
Bihar,15/06/2020,127126,6581
Bihar,16/06/2020,130783,6736
Bihar,17/06/2020,134402,6889
Bihar,18/06/2020,139584,6993
Bihar,19/06/2020,145562,7178
Bihar,20/06/2020,151148,7380
Bihar,21/06/2020,156926,7602
Bihar,22/06/2020,163476,7808
Bihar,23/06/2020,169401,7974
Bihar,24/06/2020,175103,8180
Bihar,25/06/2020,181737,8381
Bihar,26/06/2020,189643,8611
Bihar,27/06/2020,198385,8859
Bihar,28/06/2020,205832,9117
Bihar,29/06/2020,212659,9506
Bihar,30/06/2020,220890,9744
Bihar,01/07/2020,228689,10075
Bihar,02/07/2020,235980,10392
Bihar,03/07/2020,243167,10911
Bihar,04/07/2020,251097,11457
Bihar,05/07/2020,257896,11860
Bihar,06/07/2020,264109,12140
Bihar,07/07/2020,269277,12525
Bihar,08/07/2020,275554,13274
Bihar,09/07/2020,284059,13978
Bihar,10/07/2020,291654,14330
Bihar,11/07/2020,300762,15039
Bihar,12/07/2020,310013,16305
Bihar,13/07/2020,319142,17421
Bihar,14/07/2020,329160,18853
Bihar,15/07/2020,337212,20173
Bihar,16/07/2020,347457,21558
Bihar,17/07/2020,357730,23300
Bihar,18/07/2020,368232,24967
Bihar,19/07/2020,378508,26379
Bihar,20/07/2020,388626,27455
Bihar,21/07/2020,398929,28564
Bihar,22/07/2020,409088,30066
Bihar,23/07/2020,419208,31691
Bihar,24/07/2020,429664,33511
Bihar,25/07/2020,442125,36314
Bihar,26/07/2020,456324,38919
Chandigarh,02/04/2020,124,18
Chandigarh,08/04/2020,184,18
Chandigarh,10/04/2020,223,19
Chandigarh,11/04/2020,264,19
Chandigarh,12/04/2020,279,21
Chandigarh,13/04/2020,296,21
Chandigarh,14/04/2020,309,21
Chandigarh,15/04/2020,317,21
Chandigarh,16/04/2020,337,21
Chandigarh,17/04/2020,358,21
Chandigarh,18/04/2020,381,23
Chandigarh,19/04/2020,430,26
Chandigarh,20/04/2020,453,26
Chandigarh,21/04/2020,497,27
Chandigarh,22/04/2020,529,27
Chandigarh,23/04/2020,599,27
Chandigarh,24/04/2020,638,27
Chandigarh,25/04/2020,734,28
Chandigarh,26/04/2020,756,30
Chandigarh,27/04/2020,843,40
Chandigarh,28/04/2020,924,56
Chandigarh,29/04/2020,1012,67
Chandigarh,30/04/2020,1147,74
Chandigarh,01/05/2020,1252,88
Chandigarh,02/05/2020,1462,94
Chandigarh,03/05/2020,1616,97
Chandigarh,04/05/2020,1678,102
Chandigarh,05/05/2020,1713,115
Chandigarh,06/05/2020,1785,120
Chandigarh,07/05/2020,1845,129
Chandigarh,08/05/2020,1913,146
Chandigarh,09/05/2020,2055,169
Chandigarh,10/05/2020,2142,173
Chandigarh,11/05/2020,2177,173
Chandigarh,12/05/2020,2276,187
Chandigarh,13/05/2020,2420,189
Chandigarh,14/05/2020,2505,191
Chandigarh,15/05/2020,2586,191
Chandigarh,16/05/2020,2718,191
Chandigarh,17/05/2020,2812,191
Chandigarh,18/05/2020,2892,196
Chandigarh,19/05/2020,3031,199
Chandigarh,21/05/2020,3369,216
Chandigarh,22/05/2020,3531,219
Chandigarh,23/05/2020,3749,225
Chandigarh,24/05/2020,3904,238
Chandigarh,25/05/2020,4089,266
Chandigarh,26/05/2020,4207,278
Chandigarh,27/05/2020,4332,279
Chandigarh,28/05/2020,4467,289
Chandigarh,29/05/2020,4543,289
Chandigarh,30/05/2020,4654,289
Chandigarh,31/05/2020,4785,293
Chandigarh,01/06/2020,4816,294
Chandigarh,02/06/2020,4902,301
Chandigarh,03/06/2020,4977,301
Chandigarh,04/06/2020,5059,302
Chandigarh,05/06/2020,5121,309
Chandigarh,06/06/2020,5237,309
Chandigarh,07/06/2020,5312,314
Chandigarh,08/06/2020,5385,318
Chandigarh,10/06/2020,5532,328
Chandigarh,11/06/2020,5636,332
Chandigarh,12/06/2020,5708,334
Chandigarh,13/06/2020,5839,345
Chandigarh,14/06/2020,5937,350
Chandigarh,15/06/2020,6027,357
Chandigarh,16/06/2020,6115,358
Chandigarh,17/06/2020,6233,368
Chandigarh,18/06/2020,6315,373
Chandigarh,19/06/2020,6438,375
Chandigarh,20/06/2020,6578,390
Chandigarh,21/06/2020,6677,404
Chandigarh,22/06/2020,6745,410
Chandigarh,23/06/2020,6840,415
Chandigarh,24/06/2020,6981,420
Chandigarh,25/06/2020,7072,423
Chandigarh,26/06/2020,7201,424
Chandigarh,27/06/2020,7342,427
Chandigarh,28/06/2020,7455,429
Chandigarh,29/06/2020,7548,434
Chandigarh,30/06/2020,7689,440
Chandigarh,01/07/2020,7792,446
Chandigarh,02/07/2020,7938,450
Chandigarh,03/07/2020,8074,454
Chandigarh,04/07/2020,8209,459
Chandigarh,05/07/2020,8419,466
Chandigarh,06/07/2020,8528,487
Chandigarh,07/07/2020,8669,492
Chandigarh,08/07/2020,8833,507
Chandigarh,09/07/2020,9096,523
Chandigarh,10/07/2020,9253,536
Chandigarh,11/07/2020,9405,549
Chandigarh,12/07/2020,9571,559
Chandigarh,13/07/2020,9722,588
Chandigarh,14/07/2020,9834,600
Chandigarh,15/07/2020,10050,619
Chandigarh,16/07/2020,10244,635
Chandigarh,17/07/2020,10457,660
Chandigarh,18/07/2020,10773,691
Chandigarh,19/07/2020,10959,717
Chandigarh,20/07/2020,11075,739
Chandigarh,21/07/2020,11271,751
Chandigarh,22/07/2020,11547,780
Chandigarh,23/07/2020,11780,800
Chandigarh,24/07/2020,12030,823
Chandigarh,25/07/2020,12358,852
Chandigarh,26/07/2020,12608,887
Chhattisgarh,02/04/2020,1232,9
Chhattisgarh,10/04/2020,3473,18
Chhattisgarh,11/04/2020,3858,18
Chhattisgarh,12/04/2020,3945,31
Chhattisgarh,13/04/2020,4377,31
Chhattisgarh,14/04/2020,4812,33
Chhattisgarh,15/04/2020,5122,33
Chhattisgarh,16/04/2020,5519,33
Chhattisgarh,17/04/2020,5776,36
Chhattisgarh,18/04/2020,5776,36
Chhattisgarh,19/04/2020,6675,36
Chhattisgarh,20/04/2020,7601,36
Chhattisgarh,21/04/2020,8272,36
Chhattisgarh,22/04/2020,9220,36
Chhattisgarh,23/04/2020,10346,36
Chhattisgarh,24/04/2020,11386,36
Chhattisgarh,25/04/2020,12596,37
Chhattisgarh,26/04/2020,13786,37
Chhattisgarh,27/04/2020,14987,37
Chhattisgarh,28/04/2020,15737,38
Chhattisgarh,29/04/2020,16546,38
Chhattisgarh,30/04/2020,17541,40
Chhattisgarh,01/05/2020,18039,43
Chhattisgarh,03/05/2020,19902,57
Chhattisgarh,05/05/2020,21323,58
Chhattisgarh,06/05/2020,22188,59
Chhattisgarh,08/05/2020,23629,59
Chhattisgarh,09/05/2020,24506,59
Chhattisgarh,10/05/2020,25282,59
Chhattisgarh,12/05/2020,27339,59
Chhattisgarh,13/05/2020,28837,59
Chhattisgarh,14/05/2020,29697,59
Chhattisgarh,15/05/2020,31341,66
Chhattisgarh,16/05/2020,32678,67
Chhattisgarh,18/05/2020,36606,93
Chhattisgarh,19/05/2020,39010,100
Chhattisgarh,21/05/2020,45522,128
Chhattisgarh,22/05/2020,48116,172
Chhattisgarh,23/05/2020,49763,214
Chhattisgarh,25/05/2020,55022,292
Chhattisgarh,26/05/2020,57479,360
Chhattisgarh,27/05/2020,59320,364
Chhattisgarh,28/05/2020,61771,398
Chhattisgarh,29/05/2020,63992,415
Chhattisgarh,30/05/2020,66417,447
Chhattisgarh,31/05/2020,69152,492
Chhattisgarh,01/06/2020,70726,539
Chhattisgarh,02/06/2020,73198,556
Chhattisgarh,03/06/2020,76446,626
Chhattisgarh,04/06/2020,78971,756
Chhattisgarh,05/06/2020,81773,863
Chhattisgarh,06/06/2020,85346,923
Chhattisgarh,07/06/2020,88896,1073
Chhattisgarh,08/06/2020,92598,1160
Chhattisgarh,09/06/2020,93059,1211
Chhattisgarh,10/06/2020,94576,1262
Chhattisgarh,11/06/2020,96230,1398
Chhattisgarh,12/06/2020,98603,1429
Chhattisgarh,13/06/2020,101554,1512
Chhattisgarh,14/06/2020,103895,1549
Chhattisgarh,15/06/2020,107172,1715
Chhattisgarh,16/06/2020,110062,1784
Chhattisgarh,17/06/2020,113613,1864
Chhattisgarh,18/06/2020,116329,1946
Chhattisgarh,19/06/2020,120523,2018
Chhattisgarh,20/06/2020,123983,2076
Chhattisgarh,21/06/2020,126246,2273
Chhattisgarh,22/06/2020,129731,2302
Chhattisgarh,23/06/2020,133753,2356
Chhattisgarh,24/06/2020,137400,2419
Chhattisgarh,25/06/2020,142090,2456
Chhattisgarh,26/06/2020,144828,2545
Chhattisgarh,27/06/2020,152874,2602
Chhattisgarh,28/06/2020,154526,2694
Chhattisgarh,29/06/2020,156386,2761
Chhattisgarh,30/06/2020,160650,2858
Chhattisgarh,01/07/2020,163662,2940
Chhattisgarh,02/07/2020,166656,3013
Chhattisgarh,03/07/2020,177554,3065
Chhattisgarh,04/07/2020,179782,3133
Chhattisgarh,05/07/2020,182636,3207
Chhattisgarh,06/07/2020,185399,3305
Chhattisgarh,07/07/2020,189038,3415
Chhattisgarh,08/07/2020,191938,3491
Chhattisgarh,09/07/2020,196150,3679
Chhattisgarh,10/07/2020,200006,3806
